protocol,similarity,mean_cpu_round_seconds,std_cpu_round_seconds,median_cpu_round_seconds,samples,q75_cpu_round_seconds,q25_cpu_round_seconds
merkle,0.0,3.494991,0.18102310849284917,3.4764025000000003,30,3.55604675,3.3970995
merkle,0.05,3.3365243666666666,0.20715084021544392,3.3200785,30,3.41542475,3.246569
merkle,0.1,2.9320947333333334,0.19232332263753185,2.937022,30,3.0331917500000003,2.81620925
merkle,0.2,2.6137,0.14551478230086798,2.5785115000000003,30,2.6795050000000002,2.5239777500000002
merkle,0.3,2.3148769666666666,0.1218697378219546,2.3051105,30,2.34491975,2.26079375
merkle,0.4,2.079926733333333,0.12286754123541645,2.060345,30,2.1028695,2.0356495
merkle,0.5,1.8645873,0.0945393441852431,1.8370685,30,1.88381925,1.8088755
merkle,0.6,1.6303988999999999,0.08181155632825793,1.624232,30,1.64570275,1.58907375
merkle,0.7,1.4782391333333333,0.0855205509626027,1.44872,30,1.4848755,1.43413525
merkle,0.75,1.3354734666666668,0.0526349065968998,1.342481,30,1.34944575,1.30437925
merkle,0.8,1.2842120333333333,0.07832954035201196,1.2720845,30,1.29926,1.2360165
merkle,0.85,1.2053477666666665,0.09460426168452835,1.190334,30,1.20921025,1.152455
merkle,0.9,1.1394986333333332,0.077188337312497,1.127346,30,1.1559695,1.09758375
merkle,0.95,1.0670403,0.034227117228937766,1.0691155,30,1.0905127499999998,1.05101025
merkle,0.97,1.0437102666666667,0.05204893732853625,1.035329,30,1.0659507499999998,1.0076455
merkle,0.99,1.0208720333333334,0.048042688670119404,1.0188665,30,1.03652375,0.9949444999999999
merkle,1.0,0.6420716,0.021373378521438544,0.6334835,30,0.6600905,0.62433825
rbf_riblt,0.0,2.042372733333333,0.25957151304767145,2.1649465,30,2.246596,1.7189415
rbf_riblt,0.05,2.128179166666667,0.25219368433601036,2.2469155,30,2.319684,1.93769175
rbf_riblt,0.1,2.1316998666666667,0.15703766219335416,2.1852205000000002,30,2.22763075,2.078336
rbf_riblt,0.2,2.386152733333333,0.1611483469867039,2.4376375,30,2.50581575,2.1982517500000003
rbf_riblt,0.3,2.5184822000000002,0.13939712846950902,2.5292345000000003,30,2.6355875,2.3986505
rbf_riblt,0.4,2.7162303,0.12633291766029173,2.7434089999999998,30,2.795053,2.6239920000000003
rbf_riblt,0.5,2.9128846999999998,0.12401543459617968,2.9520045,30,2.99434475,2.8430605
rbf_riblt,0.6,2.905205266666667,0.12722531097960615,2.8956795,30,3.0058030000000002,2.8241195
rbf_riblt,0.7,2.9855397999999997,0.10469150452553774,2.985785,30,3.0469475,2.89815725
rbf_riblt,0.75,2.9641378333333335,0.11315067419247946,2.9719025,30,3.0253217500000003,2.8814824999999997
rbf_riblt,0.8,2.7951655333333334,0.06272288269662614,2.799915,30,2.8266865,2.761622
rbf_riblt,0.85,2.988737066666667,0.07853171846652625,2.9843845,30,3.028017,2.9380180000000005
rbf_riblt,0.9,2.811604266666667,0.10291041765701,2.7956665000000003,30,2.835467,2.7545675
rbf_riblt,0.95,2.5581115666666667,0.07045382023742308,2.5550755,30,2.58971,2.5150717499999997
rbf_riblt,0.97,2.4459660333333333,0.0931607932146253,2.4453645,30,2.48033275,2.4244820000000002
rbf_riblt,0.99,2.0881839666666666,0.07351682268118488,2.0822935,30,2.13269575,2.0283907500000002
rbf_riblt,1.0,1.4470469333333333,0.06639215427938355,1.4512925,30,1.4722202500000001,1.413811
riblt,0.0,13.2802364,0.3780792764849995,13.380714999999999,30,13.6004185,12.91405375
riblt,0.05,12.806324033333334,0.517251599583233,12.689796000000001,30,13.059391,12.49468525
riblt,0.1,11.7809399,0.2728728828566643,11.811265,30,11.982569,11.5926195
riblt,0.2,10.599992833333333,0.17968049022891242,10.611596500000001,30,10.78007625,10.45525125
riblt,0.3,9.4810942,0.1545918320952931,9.4538815,30,9.59665575,9.38403925
riblt,0.4,8.503397766666668,0.1803648419277811,8.550661999999999,30,8.616306250000001,8.37468225
riblt,0.5,7.722927266666667,0.1423904038370983,7.7114315,30,7.8001065,7.6090965
riblt,0.6,6.916249733333333,0.16067218617827317,6.955007500000001,30,7.02172525,6.8358085
riblt,0.7,6.106827333333333,0.08398484802643282,6.1175575,30,6.16295325,6.05092325
riblt,0.75,5.748868566666667,0.09495503097516961,5.758157499999999,30,5.7989185,5.71101775
riblt,0.8,5.4054481,0.116640216700271,5.414709,30,5.4622917499999994,5.3247462500000005
riblt,0.85,5.05095,0.10118738331023508,5.046172500000001,30,5.12496175,4.984727
riblt,0.9,4.7180352,0.10402638247244507,4.7116345,30,4.7671535,4.6563735
riblt,0.95,4.1466726666666665,0.06495687818287131,4.1516305,30,4.1845115,4.105033000000001
riblt,0.97,3.7855791666666665,0.08287187912720888,3.778636,30,3.8454937499999997,3.72706275
riblt,0.99,3.1111296,0.10077815006842378,3.125687,30,3.17019025,3.0776835
riblt,1.0,1.5911139333333333,0.03976202853523426,1.5828955,30,1.6181207499999999,1.56792775
