protocol,similarity,mean_rss_memory_mb,std_rss_memory_mb,median_rss_memory_mb,samples,q75_rss_memory_mb,q25_rss_memory_mb
merkle,0.0,495.5717447916667,34.766885745182606,489.4921875,30,529.78515625,473.9296875
merkle,0.05,472.9087239583333,29.30182171749574,475.189453125,30,499.138671875,450.4326171875
merkle,0.1,450.9557291666667,32.88628556288892,451.89453125,30,480.6201171875,426.298828125
merkle,0.2,421.39088541666666,23.254739663582743,424.744140625,30,440.1728515625,402.220703125
merkle,0.3,382.23125,20.462602964312595,378.0703125,30,397.9853515625,373.0751953125
merkle,0.4,356.16953125,22.141513677091968,355.8984375,30,372.55859375,345.9140625
merkle,0.5,339.8606770833333,21.592410318137322,339.3046875,30,357.515625,325.5556640625
merkle,0.6,330.0296875,14.504045921245586,332.07421875,30,342.6025390625,321.3486328125
merkle,0.7,305.56080729166666,16.15785576996673,307.228515625,30,317.736328125,293.4482421875
merkle,0.75,284.5678385416667,17.810466958619703,289.904296875,30,296.841796875,270.9013671875
merkle,0.8,271.133984375,18.673110411434347,270.48828125,30,282.9111328125,257.1083984375
merkle,0.85,268.79010416666665,18.118764775838827,268.833984375,30,277.642578125,254.958984375
merkle,0.9,259.05377604166665,15.393093530268013,261.66796875,30,271.326171875,246.650390625
merkle,0.95,250.690234375,16.48179711870155,252.775390625,30,264.5244140625,234.2314453125
merkle,0.97,255.108203125,18.6851244446333,256.572265625,30,268.6044921875,240.36328125
merkle,0.99,256.79375,15.592216766712859,254.814453125,30,273.1025390625,243.9833984375
merkle,1.0,123.94153645833333,0.145025451579461,123.94921875,30,124.0302734375,123.8466796875
rbf_riblt,0.0,383.41197916666664,31.71614155242224,384.7890625,30,403.8916015625,359.82421875
rbf_riblt,0.05,356.92395833333336,27.027780337739,356.033203125,30,375.0986328125,337.30078125
rbf_riblt,0.1,345.9622395833333,26.133550719346488,347.515625,30,364.322265625,326.88671875
rbf_riblt,0.2,307.142578125,25.843957762500825,303.90625,30,317.7373046875,294.93359375
rbf_riblt,0.3,276.50169270833334,23.990536340651374,271.03515625,30,294.4267578125,263.572265625
rbf_riblt,0.4,246.166796875,21.210747412097927,250.056640625,30,264.44140625,229.298828125
rbf_riblt,0.5,241.29986979166668,17.369604559420814,241.939453125,30,250.396484375,233.888671875
rbf_riblt,0.6,194.41888020833332,10.825639827227299,195.939453125,30,200.7978515625,190.138671875
rbf_riblt,0.7,169.76666666666668,13.790201814643128,171.994140625,30,178.580078125,159.953125
rbf_riblt,0.75,146.37408854166668,15.390307180011142,146.69921875,30,158.3232421875,135.2392578125
rbf_riblt,0.8,123.16549479166666,7.483761063056099,120.0390625,30,130.3681640625,117.21875
rbf_riblt,0.85,122.84427083333334,7.6080723487961075,124.490234375,30,128.6728515625,116.5322265625
rbf_riblt,0.9,123.14609375,12.70424174541862,121.896484375,30,128.0556640625,111.0234375
rbf_riblt,0.95,113.955078125,9.60795162386707,110.421875,30,116.73046875,108.0859375
rbf_riblt,0.97,130.13958333333332,9.560740118063789,132.556640625,30,137.619140625,123.2509765625
rbf_riblt,0.99,128.87955729166666,9.828963406577369,130.6171875,30,135.2509765625,127.734375
rbf_riblt,1.0,111.34622395833334,8.050621190998653,109.513671875,30,113.5732421875,104.734375
riblt,0.0,439.14153645833335,14.586407482032316,438.83984375,30,451.892578125,427.3251953125
riblt,0.05,416.564453125,12.111996368366635,416.818359375,30,425.005859375,410.2666015625
riblt,0.1,389.1783854166667,12.890335776427099,386.884765625,30,395.541015625,380.318359375
riblt,0.2,356.86302083333334,11.563919565942818,356.921875,30,367.244140625,348.5029296875
riblt,0.3,315.17278645833335,8.119963033998184,313.501953125,30,320.3984375,311.16015625
riblt,0.4,286.1127604166667,9.779330400653807,287.318359375,30,293.2470703125,279.2255859375
riblt,0.5,261.35950520833336,12.517276604808993,260.41796875,30,271.66796875,250.70703125
riblt,0.6,238.49283854166666,9.202709408892185,239.828125,30,242.3544921875,231.296875
riblt,0.7,210.8296875,8.308006560024761,212.79296875,30,216.90234375,206.0078125
riblt,0.75,191.712109375,5.9640708520283265,192.330078125,30,194.7724609375,186.4677734375
riblt,0.8,178.07890625,6.864049140542709,179.2734375,30,181.91796875,171.9580078125
riblt,0.85,168.21276041666667,4.905928336550418,167.908203125,30,171.9052734375,163.6328125
riblt,0.9,163.20442708333334,6.041001228278985,161.3671875,30,167.125,158.6181640625
riblt,0.95,158.85104166666667,5.971272832164725,154.951171875,30,163.3740234375,154.1005859375
riblt,0.97,156.86744791666666,5.182690110058167,153.345703125,30,162.0185546875,152.9697265625
riblt,0.99,156.21861979166667,6.000601682054772,151.935546875,30,161.0390625,151.6689453125
riblt,1.0,157.282421875,4.49854920484302,160.28125,30,160.482421875,151.20703125
