similarity,riblt_mean_transmitted_bytes,merkle_mean_transmitted_bytes,riblt_std_transmitted_bytes,merkle_std_transmitted_bytes,riblt_trials,merkle_trials,riblt_minus_merkle,riblt_to_merkle_ratio
0.0,85859038.4,132459760.93333334,218975.1561272129,372357.36838826333,30,30,-46600722.53333333,0.6481895920317465
0.05,77823060.13333334,120013930.6,186647.2307672556,337421.0177625303,30,30,-42190870.466666654,0.6484502236054033
0.1,70461652.26666667,108527500.46666667,183802.01070209668,312191.50648133573,30,30,-38065848.2,0.6492515902760368
0.2,57652905.733333334,88542177.66666667,141071.06487424855,269073.1665813063,30,30,-30889271.933333337,0.6511349421557974
0.3,46802654.13333333,71542009.2,154921.86312165702,218662.6719086604,30,30,-24739355.06666667,0.6541982068534543
0.4,37506392.53333333,56965354.8,150715.97370247476,201808.49051725928,30,30,-19458962.266666666,0.6584070732994598
0.5,29367449.066666666,44381698.93333333,136417.06262754078,120721.12068414473,30,30,-15014249.866666663,0.6617017773650378
0.6,22384570.266666666,33255630.866666667,101120.58250423337,97682.89189805948,30,30,-10871060.600000001,0.6731061682881361
0.7,16176867.866666667,23496941.466666665,101541.7111181864,77354.44739537271,30,30,-7320073.599999998,0.6884669602473823
0.75,13254559.6,18985320.2,207668.7993801003,110120.19737491176,30,30,-5730760.6,0.6981478036909802
0.8,10483173.2,14788051.266666668,356177.87160470156,50618.794038642176,30,30,-4304878.066666668,0.7088948375253356
0.85,7744512.666666667,10768475.466666667,460421.67124655575,92340.32624938962,30,30,-3023962.8,0.7191837591718028
0.9,5402579.333333333,7007850.666666667,318626.3026847826,53846.55753818108,30,30,-1605271.333333334,0.7709324285449004
0.95,2635696.6666666665,3428972.533333333,178398.466553123,23241.208971659984,30,30,-793275.8666666667,0.7686549370240897
0.97,1545311.6,1991172.4,126631.14732536356,74612.03018354576,30,30,-445860.7999999998,0.7760812674984849
0.99,524765.3333333334,677210.9333333333,32562.11500939485,21497.602616832984,30,30,-152445.59999999998,0.7748919981996747
1.0,20384.0,190.0,0.0,30.512857662936465,30,30,20194.0,107.28421052631579
