similarity,riblt_mean_cpu_round_seconds,merkle_mean_cpu_round_seconds,riblt_std_cpu_round_seconds,merkle_std_cpu_round_seconds,riblt_samples,merkle_samples,riblt_minus_merkle_seconds,riblt_to_merkle_ratio
0.0,13.2802364,3.494991,0.3780792764849995,0.18102310849284917,30,30,9.785245399999999,3.799791301322378
0.05,12.806324033333334,3.3365243666666666,0.517251599583233,0.20715084021544392,30,30,9.469799666666667,3.8382228408921857
0.1,11.7809399,2.9320947333333334,0.2728728828566643,0.19232332263753185,30,30,8.848845166666667,4.017926080651192
0.2,10.599992833333333,2.6137,0.17968049022891242,0.14551478230086798,30,30,7.986292833333334,4.055550688041219
0.3,9.4810942,2.3148769666666666,0.1545918320952931,0.1218697378219546,30,30,7.166217233333333,4.095722725883099
0.4,8.503397766666668,2.079926733333333,0.1803648419277811,0.12286754123541645,30,30,6.4234710333333345,4.08831601151592
0.5,7.722927266666667,1.8645873,0.1423904038370983,0.0945393441852431,30,30,5.858339966666667,4.141896314893203
0.6,6.916249733333333,1.6303988999999999,0.16067218617827317,0.08181155632825793,30,30,5.285850833333333,4.242059862364562
0.7,6.106827333333333,1.4782391333333333,0.08398484802643282,0.0855205509626027,30,30,4.6285882,4.1311498225343515
0.75,5.748868566666667,1.3354734666666668,0.09495503097516961,0.0526349065968998,30,30,4.413395100000001,4.304741883802309
0.8,5.4054481,1.2842120333333333,0.116640216700271,0.07832954035201196,30,30,4.1212360666666665,4.2091554663052655
0.85,5.05095,1.2053477666666665,0.10118738331023508,0.09460426168452835,30,30,3.8456022333333335,4.190450374308295
0.9,4.7180352,1.1394986333333332,0.10402638247244507,0.077188337312497,30,30,3.578536566666667,4.140448318220888
0.95,4.1466726666666665,1.0670403,0.06495687818287131,0.034227117228937766,30,30,3.0796323666666665,3.886144381488372
0.97,3.7855791666666665,1.0437102666666667,0.08287187912720888,0.05204893732853625,30,30,2.7418689,3.6270402692854606
0.99,3.1111296,1.0208720333333334,0.10077815006842378,0.048042688670119404,30,30,2.0902575666666667,3.0475216270168497
1.0,1.5911139333333333,0.6420716,0.03976202853523426,0.021373378521438544,30,30,0.9490423333333333,2.4780942395417167
