protocol,similarity,mean_round_trips,std_round_trips,median_round_trips,trials,q75_round_trips,q25_round_trips
merkle,0.0,314.9166666666667,0.2787178067853077,315.0,60,315.0,315.0
merkle,0.05,292.8666666666667,0.3428033318008844,293.0,60,293.0,293.0
merkle,0.1,268.8833333333333,0.32373177151309357,269.0,60,269.0,269.0
merkle,0.2,224.83333333333334,0.37582301400142043,225.0,60,225.0,225.0
merkle,0.3,190.9,0.35415212665401036,191.0,60,191.0,191.0
merkle,0.4,152.93333333333334,0.25154887429323286,153.0,60,153.0,153.0
merkle,0.5,128.93333333333334,0.25154887429323847,129.0,60,129.0,129.0
merkle,0.6,100.88333333333334,0.3237317715130928,101.0,60,101.0,101.0
merkle,0.7,80.95,0.21978417765108585,81.0,60,81.0,81.0
merkle,0.75,72.96666666666667,0.18102033471939513,73.0,60,73.0,73.0
merkle,0.8,62.916666666666664,0.2787178067853009,63.0,60,63.0,63.0
merkle,0.85,54.95,0.21978417765108288,55.0,60,55.0,55.0
merkle,0.9,46.95,0.21978417765108418,47.0,60,47.0,47.0
merkle,0.95,40.916666666666664,0.27871780678530184,41.0,60,41.0,41.0
merkle,0.97,38.95,0.21978417765108366,39.0,60,39.0,39.0
merkle,0.99,38.93333333333333,0.2515488742932324,39.0,60,39.0,39.0
merkle,1.0,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,0.0,226.83333333333334,116.17391501999684,213.0,60,346.0,118.75
rbf_riblt,0.05,236.91666666666666,116.23723427872999,232.5,60,352.5,121.5
rbf_riblt,0.1,244.6,120.78573268535894,236.0,60,359.5,125.75
rbf_riblt,0.2,347.75,185.31271097109777,343.0,60,526.75,170.75
rbf_riblt,0.3,325.25,169.40690408759136,335.0,60,488.25,158.75
rbf_riblt,0.4,303.25,157.88084167970325,282.5,60,468.5,150.75
rbf_riblt,0.5,347.1166666666667,191.17753676876302,354.0,60,537.25,164.75
rbf_riblt,0.6,341.18333333333334,182.69837063523133,349.0,60,520.0,161.75
rbf_riblt,0.7,337.1666666666667,190.09918612390678,286.0,60,526.0,144.5
rbf_riblt,0.75,350.48333333333335,201.4224409481578,348.0,60,549.25,150.75
rbf_riblt,0.8,294.23333333333335,155.56734512762148,289.0,60,446.25,141.75
rbf_riblt,0.85,374.9166666666667,219.10536832624283,357.0,60,592.25,155.25
rbf_riblt,0.9,278.4166666666667,147.28644887632697,283.0,60,422.25,130.5
rbf_riblt,0.95,162.88333333333333,72.70070795977924,162.5,60,232.25,91.75
rbf_riblt,0.97,111.11666666666666,41.47169411091591,106.0,60,154.0,71.75
rbf_riblt,0.99,46.3,17.0694493670685,44.0,60,63.0,30.0
rbf_riblt,1.0,6.0,1.0084389681792214,6.0,60,7.0,5.0
riblt,0.0,11061.366666666667,225.9503445274881,11062.0,60,11220.75,10944.25
riblt,0.05,10003.6,215.14553214045628,10017.5,60,10150.5,9863.75
riblt,0.1,9090.033333333333,229.0451044816407,9136.0,60,9236.75,8968.0
riblt,0.2,7476.6,158.30524044560994,7500.5,60,7587.75,7389.5
riblt,0.3,6082.216666666666,131.15343474849487,6107.0,60,6173.75,5973.0
riblt,0.4,4907.883333333333,109.51713613560493,4904.0,60,4981.75,4841.25
riblt,0.5,3862.45,109.18813262019252,3874.5,60,3947.0,3786.75
riblt,0.6,2992.233333333333,77.3629716242278,2988.5,60,3035.0,2947.5
riblt,0.7,2218.366666666667,58.6289587342287,2228.0,60,2264.0,2176.25
riblt,0.75,1854.75,61.48628757147428,1861.0,60,1904.25,1815.0
riblt,0.8,1521.9833333333333,40.797346069660975,1521.5,60,1541.0,1497.0
riblt,0.85,1185.85,44.20170446901454,1187.0,60,1218.5,1156.0
riblt,0.9,892.8166666666667,39.174313473986885,900.0,60,917.5,862.0
riblt,0.95,523.0,28.191235565541778,523.5,60,543.25,504.0
riblt,0.97,354.98333333333335,17.786389451418003,355.5,60,367.5,345.75
riblt,0.99,143.96666666666667,10.881436013574408,145.0,60,152.0,137.0
riblt,1.0,3.5166666666666666,0.5039392842990978,4.0,60,4.0,3.0
