protocol,similarity,mean_round_duration_seconds,std_round_duration_seconds,median_round_duration_seconds,rounds,q75_round_duration_seconds,q25_round_duration_seconds
merkle,0.0,2.4454178363,0.0912721632718939,2.439827332,10,2.49632552175,2.384609981
merkle,0.05,2.2495187042,0.14389711943442016,2.1966548015000003,10,2.3353838155,2.14633826125
merkle,0.1,2.1115346002999997,0.14661928200523797,2.0885056300000002,10,2.1937810822499997,2.00605907475
merkle,0.2,1.8613009587,0.15765552845353964,1.8490330240000001,10,1.95737871525,1.7800880985
merkle,0.3,1.6102885928,0.1161430833601334,1.6002944895,10,1.715478859,1.514034685
merkle,0.4,1.2599310343,0.040799458978064515,1.2547028255,10,1.27393847575,1.24079636275
merkle,0.5,1.1136780101,0.04779257625095111,1.1085954839999999,10,1.13569977075,1.08235870775
merkle,0.6,1.0119111526,0.03641667856636011,1.0080528575,10,1.04762176025,0.9943348425
merkle,0.7,0.8928691045000001,0.048010568758879074,0.8899367205,10,0.9385913152500001,0.85933552075
merkle,0.75,0.7010012449999999,0.01632768067005567,0.6958592695,10,0.71345388925,0.69243019225
merkle,0.8,0.7112096726,0.05700709648335834,0.699404594,10,0.76267870475,0.6619327190000001
merkle,0.85,0.6273857118999999,0.05183386332043258,0.614711892,10,0.62131034125,0.5943977895
merkle,0.9,0.6476160323,0.05252734792668772,0.6378024105,10,0.69236623075,0.606710116
merkle,0.95,0.5589444339,0.013765265512287395,0.5551317565,10,0.567846014,0.5508137275
merkle,0.97,0.5327257053000001,0.03918445420210698,0.5294618195,10,0.5435948505,0.50361001075
merkle,0.99,0.5230481704000001,0.03485071939753429,0.521473983,10,0.55300228175,0.49426562900000004
merkle,1.0,0.0,0.0,0.0,10,0.0,0.0
rbf_riblt,0.0,1.0443326321000002,0.14629838427532058,1.0208737294999999,10,1.13818305675,0.9203041515
rbf_riblt,0.05,1.29106341,0.17817777373472526,1.2877339855,10,1.3347836435,1.1460962805000001
rbf_riblt,0.1,1.3774376039,0.13620499960719887,1.4031870445,10,1.4222085415,1.285752602
rbf_riblt,0.2,1.6220399571000002,0.13691557928994597,1.6192639409999998,10,1.73126242375,1.489982354
rbf_riblt,0.3,1.8707669289000002,0.12867170973650385,1.8708987965000001,10,1.96724283825,1.746827363
rbf_riblt,0.4,1.9332334540000002,0.10490417654320609,1.9598994525,10,2.0262634457499997,1.837388135
rbf_riblt,0.5,2.2026322622,0.1621030376684017,2.208025116,10,2.28855060925,2.06659572
rbf_riblt,0.6,2.2946780648000003,0.1379183301253234,2.2955226515,10,2.346700386,2.207446937
rbf_riblt,0.7,2.3732695146,0.1024413125921084,2.365579179,10,2.43116136975,2.3038801049999997
rbf_riblt,0.75,2.5871115442,0.20016530951606767,2.593416802,10,2.7425953817499997,2.422067472
rbf_riblt,0.8,2.358477693,0.08211950477924135,2.37394779,10,2.416756962,2.2840107767499997
rbf_riblt,0.85,2.6043804969,0.1777659263900132,2.6235882205,10,2.7121494354999998,2.467596484
rbf_riblt,0.9,2.65431837,0.3707786115322091,2.565334372,10,2.7115286787499997,2.4028610862499997
rbf_riblt,0.95,2.1885448458,0.11013844475265445,2.199027832,10,2.2469261232499997,2.11000013825
rbf_riblt,0.97,2.112765934,0.10395878480983789,2.1097442485,10,2.1587601,2.0548043125
rbf_riblt,0.99,1.9225582582999998,0.12759585235689222,1.8879561274999999,10,2.01431017025,1.833591826
rbf_riblt,1.0,1.530117355,0.05469196894199122,1.5368842745000002,10,1.5673852775000001,1.4833425135
riblt,0.0,5.8070162258,0.21648331670913556,5.9090119245,10,5.962760237,5.6112820029999995
riblt,0.05,5.5778267176,0.15496152443745945,5.5949256745,10,5.691642678,5.5508763805
riblt,0.1,5.4337131821,0.838397922560227,5.543407673,10,5.823264073,4.6136180465
riblt,0.2,4.2091802624,0.13776936824244077,4.2181486205,10,4.329910387,4.099123919249999
riblt,0.3,3.8320710434,0.23093657521000457,3.7253907225000003,10,3.846125518,3.68884099425
riblt,0.4,3.6406416729,0.24610267111315068,3.6684525385,10,3.8045859592499998,3.4531347822500003
riblt,0.5,2.9220206673,0.060562105836697216,2.9174555570000003,10,2.9398546320000003,2.87869400625
riblt,0.6,2.7365441933,0.08140233251011851,2.7311963415000005,10,2.7863843365000003,2.69422853625
riblt,0.7,2.4445299659,0.06232457288884941,2.4633016425000003,10,2.49035831325,2.409333858
riblt,0.75,2.3273594721,0.14241714490301463,2.3016840045,10,2.33929875725,2.2274921382499997
riblt,0.8,2.3557360198,0.21277492579355203,2.224096443,10,2.5824738167500003,2.198806393
riblt,0.85,2.3313769033,0.22402790282316848,2.263876468,10,2.494683234,2.16168881625
riblt,0.9,2.0670685235,0.0848400829285138,2.088624349,10,2.135163387,2.0429989465
riblt,0.95,1.6284651422,0.05607810688096392,1.6172237135,10,1.669428371,1.60393721075
riblt,0.97,1.6267605415,0.16296512247826747,1.626136998,10,1.68996722225,1.53797549925
riblt,0.99,1.2397965872,0.04188291913098532,1.23261011,10,1.2645756609999999,1.2051073145
riblt,1.0,0.6193444873,0.023954970503412994,0.6113426019999999,10,0.6357592587500001,0.6036093885
