protocol,similarity,seed_seconds,decode_seconds,decoded_difference
rbf_riblt,0.0,0.0064621096,0.043786520599999976,3183.4
rbf_riblt,0.05,0.0257206396,0.13183551599999999,3186.8
rbf_riblt,0.1,0.046121046,0.21002484879999997,3159.4
rbf_riblt,0.2,0.0778523548,0.4286044418,5270.0
rbf_riblt,0.3,0.09974905040000001,0.5978224731999999,5081.8
rbf_riblt,0.4,0.12565328199999998,0.6656690501999999,5107.2
rbf_riblt,0.5,0.15014052279999998,0.9033315367999999,6243.0
rbf_riblt,0.6,0.1677704854,0.9981382634000002,6268.6
rbf_riblt,0.7,0.1742660294,1.0989867428,6616.6
rbf_riblt,0.75,0.1831061552,1.3169442908,7098.4
rbf_riblt,0.8,0.1831176564,1.1702234382,5556.6
rbf_riblt,0.85,0.1899889638,1.4616280934,8085.8
rbf_riblt,0.9,0.1956156,1.4787140496000002,5258.2
rbf_riblt,0.95,0.185017039,1.0706685688000002,2554.0
rbf_riblt,0.97,0.1917274124,0.9962061205999999,1513.4
rbf_riblt,0.99,0.1929667244,0.8068241724,510.6
rbf_riblt,1.0,0.20769532379999997,0.44698602899999995,0.0
