similarity,riblt_mean_round_duration_seconds,merkle_mean_round_duration_seconds,riblt_std_round_duration_seconds,merkle_std_round_duration_seconds,riblt_rounds,merkle_rounds,riblt_minus_merkle_seconds,riblt_to_merkle_ratio
0.0,5.8070162258,2.4454178363,0.21648331670913556,0.0912721632718939,10,10,3.3615983895,2.374651946837115
0.05,5.5778267176,2.2495187042,0.15496152443745945,0.14389711943442016,10,10,3.3283080133999996,2.4795644984795318
0.1,5.4337131821,2.1115346002999997,0.838397922560227,0.14661928200523797,10,10,3.3221785818000003,2.573347924930047
0.2,4.2091802624,1.8613009587,0.13776936824244077,0.15765552845353964,10,10,2.3478793037,2.2614184142148854
0.3,3.8320710434,1.6102885928,0.23093657521000457,0.1161430833601334,10,10,2.2217824506,2.3797417807802534
0.4,3.6406416729,1.2599310343,0.24610267111315068,0.040799458978064515,10,10,2.3807106386,2.889556312042658
0.5,2.9220206673,1.1136780101,0.060562105836697216,0.04779257625095111,10,10,1.8083426572,2.6237571728992157
0.6,2.7365441933,1.0119111526,0.08140233251011851,0.03641667856636011,10,10,1.7246330407,2.704332476491375
0.7,2.4445299659,0.8928691045000001,0.06232457288884941,0.048010568758879074,10,10,1.5516608614,2.737836882897766
0.75,2.3273594721,0.7010012449999999,0.14241714490301463,0.01632768067005567,10,10,1.6263582270999999,3.3200504117506955
0.8,2.3557360198,0.7112096726,0.21277492579355203,0.05700709648335834,10,10,1.6445263472000002,3.312294686865034
0.85,2.3313769033,0.6273857118999999,0.22402790282316848,0.05183386332043258,10,10,1.7039911913999999,3.7160184860435614
0.9,2.0670685235,0.6476160323,0.0848400829285138,0.05252734792668772,10,10,1.4194524912000002,3.1918118459156006
0.95,1.6284651422,0.5589444339,0.05607810688096392,0.013765265512287395,10,10,1.0695207083,2.913465173698011
0.97,1.6267605415,0.5327257053000001,0.16296512247826747,0.03918445420210698,10,10,1.0940348361999999,3.05365505233862
0.99,1.2397965872,0.5230481704000001,0.04188291913098532,0.03485071939753429,10,10,0.7167484168,2.370329650999196
1.0,0.6193444873,0.0,0.023954970503412994,0.0,10,10,0.6193444873,
