similarity,riblt_mean_round_trips,merkle_mean_round_trips,riblt_std_round_trips,merkle_std_round_trips,riblt_trials,merkle_trials,riblt_minus_merkle_round_trips,riblt_to_merkle_ratio
0.0,10038.5,315.0,102.13852249654741,0.0,10,10,9723.5,31.868253968253967
0.05,9017.2,293.0,77.4206403716446,0.0,10,10,8724.2,30.775426621160413
0.1,8240.1,269.0,182.21565367564958,0.0,10,10,7971.1,30.632342007434946
0.2,6885.3,225.0,70.20929030010521,0.0,10,10,6660.3,30.601333333333333
0.3,5631.9,191.0,158.388025641671,0.0,10,10,5440.9,29.48638743455497
0.4,4337.8,153.0,139.98872970508876,0.0,10,10,4184.8,28.351633986928107
0.5,3566.9,129.0,81.95181511107606,0.0,10,10,3437.9,27.650387596899225
0.6,2737.2,101.0,78.78493933910642,0.0,10,10,2636.2,27.1009900990099
0.7,2011.6,81.0,69.79525612660059,0.0,10,10,1930.6,24.834567901234568
0.75,1624.0,73.0,78.43043626892134,0.0,10,10,1551.0,22.246575342465754
0.8,1299.6,63.0,84.6104800443381,0.0,10,10,1236.6,20.628571428571426
0.85,961.9,55.0,76.27064383569282,0.0,10,10,906.9,17.48909090909091
0.9,699.3,47.0,49.17101675671237,0.0,10,10,652.3,14.878723404255318
0.95,359.7,41.0,37.410782759341814,0.0,10,10,318.7,8.773170731707317
0.97,233.3,39.0,23.921399067222918,0.0,10,10,194.3,5.982051282051282
0.99,90.9,39.0,6.8386158443552505,0.0,10,10,51.900000000000006,2.330769230769231
1.0,3.9,1.0,0.31622776601683794,0.0,10,10,2.9,3.9
