size,difference,mean_seconds,median_seconds,std_seconds,q25_seconds,q75_seconds,samples
100000,0,0.6193444873,0.6113426019999999,0.023954970503412994,0.6036093885,0.6357592587500001,10
100000,1006,1.2397965872,1.23261011,0.04188291913098532,1.2051073145,1.2645756609999999,10
100000,3046,1.6267605415,1.626136998,0.16296512247826747,1.53797549925,1.68996722225,10
100000,5130,1.6284651422,1.6172237135,0.05607810688096392,1.60393721075,1.669428371,10
100000,10528,2.0670685235,2.088624349,0.0848400829285138,2.0429989465,2.135163387,10
100000,16218,2.3313769033,2.263876468,0.22402790282316848,2.16168881625,2.494683234,10
100000,22224,2.3557360198,2.224096443,0.21277492579355203,2.198806393,2.5824738167500003,10
100000,28572,2.3273594721,2.3016840045,0.14241714490301463,2.2274921382499997,2.33929875725,10
100000,35296,2.4445299659,2.4633016425000003,0.06232457288884941,2.409333858,2.49035831325,10
100000,50000,2.7365441933,2.7311963415000005,0.08140233251011851,2.69422853625,2.7863843365000003,10
100000,66668,2.9220206673,2.9174555570000003,0.060562105836697216,2.87869400625,2.9398546320000003,10
100000,85716,3.6406416729,3.6684525385,0.24610267111315068,3.4531347822500003,3.8045859592499998,10
100000,107694,3.8320710434,3.7253907225000003,0.23093657521000457,3.68884099425,3.846125518,10
100000,133334,4.2091802624,4.2181486205,0.13776936824244077,4.099123919249999,4.329910387,10
100000,163638,5.4337131821,5.543407673,0.838397922560227,4.6136180465,5.823264073,10
100000,180954,5.5778267176,5.5949256745,0.15496152443745945,5.5508763805,5.691642678,10
100000,200000,5.8070162258,5.9090119245,0.21648331670913556,5.6112820029999995,5.962760237,10
