protocol,similarity,mean_transmitted_bytes,std_transmitted_bytes,median_transmitted_bytes,trials,q75_transmitted_bytes,q25_transmitted_bytes
merkle,0.0,131952354.0,0.0,131952354.0,5,131952354.0,131952354.0
merkle,0.05,119524176.0,0.0,119524176.0,5,119524176.0,119524176.0
merkle,0.1,108155746.0,0.0,108155746.0,5,108155746.0,108155746.0
merkle,0.2,88213868.0,0.0,88213868.0,5,88213868.0,88213868.0
merkle,0.3,71265474.0,0.0,71265474.0,5,71265474.0,71265474.0
merkle,0.4,56769936.0,0.0,56769936.0,5,56769936.0,56769936.0
merkle,0.5,44202720.0,0.0,44202720.0,5,44202720.0,44202720.0
merkle,0.6,33125634.0,0.0,33125634.0,5,33125634.0,33125634.0
merkle,0.7,23428064.0,0.0,23428064.0,5,23428064.0,23428064.0
merkle,0.75,18965948.0,0.0,18965948.0,5,18965948.0,18965948.0
merkle,0.8,14746492.0,0.0,14746492.0,5,14746492.0,14746492.0
merkle,0.85,10776074.0,0.0,10776074.0,5,10776074.0,10776074.0
merkle,0.9,7005804.0,0.0,7005804.0,5,7005804.0,7005804.0
merkle,0.95,3424874.0,0.0,3424874.0,5,3424874.0,3424874.0
merkle,0.97,2038516.0,0.0,2038516.0,5,2038516.0,2038516.0
merkle,0.99,686032.0,0.0,686032.0,5,686032.0,686032.0
merkle,1.0,120.0,44.721359549995796,100.0,5,100.0,100.0
rbf_riblt,0.0,31085222.4,48270.46049915001,31094236.0,5,31094984.0,31046860.0
rbf_riblt,0.05,28255212.8,40130.794001614355,28241884.0,5,28285668.0,28225764.0
rbf_riblt,0.1,25633250.4,28765.176390907545,25622440.0,5,25657592.0,25609060.0
rbf_riblt,0.2,21659832.8,70787.1397020671,21664196.0,5,21697748.0,21663812.0
rbf_riblt,0.3,17714091.2,49343.44150137895,17715928.0,5,17740200.0,17686312.0
rbf_riblt,0.4,14502384.0,170495.17302258164,14544176.0,5,14600828.0,14509100.0
rbf_riblt,0.5,11890819.2,69600.23111455886,11905712.0,5,11949852.0,11859040.0
rbf_riblt,0.6,9412421.6,123242.07750926627,9449488.0,5,9507884.0,9294284.0
rbf_riblt,0.7,7217179.2,101958.05633298436,7215356.0,5,7309860.0,7139884.0
rbf_riblt,0.75,6406568.0,89373.69161000344,6414916.0,5,6459636.0,6398696.0
rbf_riblt,0.8,5014576.8,59714.463199462814,5050856.0,5,5058124.0,4979168.0
rbf_riblt,0.85,4833076.8,65477.37009990544,4828192.0,5,4874008.0,4795668.0
rbf_riblt,0.9,3112928.0,77568.76830271317,3150028.0,5,3155340.0,3091168.0
rbf_riblt,0.95,1529801.6,39404.737542584924,1522572.0,5,1531612.0,1514964.0
rbf_riblt,0.97,926445.6,24353.172869258742,928900.0,5,931200.0,907028.0
rbf_riblt,0.99,329143.2,7311.022035256081,329488.0,5,332752.0,326416.0
rbf_riblt,1.0,47568.0,0.0,47568.0,5,47568.0,47568.0
riblt,0.0,85610036.0,200931.27280739552,85660548.0,5,85663288.0,85449008.0
riblt,0.05,77289051.2,54166.7332889849,77262032.0,5,77342400.0,77248112.0
riblt,0.1,70257773.6,237963.74892995827,70370076.0,5,70427032.0,70088128.0
riblt,0.2,57417200.8,129384.48204943254,57366472.0,5,57435096.0,57345248.0
riblt,0.3,46513528.8,193889.61573844007,46505420.0,5,46610868.0,46423988.0
riblt,0.4,37183882.4,236920.431733525,37244528.0,5,37276760.0,36949476.0
riblt,0.5,28661496.0,1262455.171997802,29176624.0,5,29398780.0,28899024.0
riblt,0.6,22251665.6,111061.0926868634,22211544.0,5,22306800.0,22172060.0
riblt,0.7,15898909.6,190490.27550192663,15805768.0,5,15966796.0,15777308.0
riblt,0.75,12994220.0,122190.33300552047,12969696.0,5,13100236.0,12908516.0
riblt,0.8,10408223.2,146596.9039072791,10424356.0,5,10534828.0,10326888.0
riblt,0.85,7855082.4,96018.36376860406,7807120.0,5,7951476.0,7801036.0
riblt,0.9,5595164.8,22025.585377010982,5598684.0,5,5607032.0,5594600.0
riblt,0.95,2610839.2,112944.56974640266,2649396.0,5,2660468.0,2575680.0
riblt,0.97,1549474.4,50815.96131925478,1577908.0,5,1579948.0,1515420.0
riblt,0.99,499756.8,32682.830893299313,519876.0,5,523856.0,465760.0
riblt,1.0,20384.0,0.0,20384.0,5,20384.0,20384.0
