timestamp,value,labels
1775604790.285,1,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604790.285,1,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604790.285,2,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604795.285,2,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604795.285,2,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604795.285,2,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604800.284,3,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604800.284,3,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604800.284,3,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604805.285,4,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604805.285,4,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604805.285,4,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604810.284,5,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604810.284,5,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604810.284,5,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604815.285,6,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604815.285,6,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604815.285,6,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604820.284,7,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604820.284,7,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604820.284,7,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604825.285,8,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604825.285,8,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604825.285,8,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604830.285,9,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604830.285,9,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604830.285,9,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604835.285,10,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604835.285,10,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604835.285,10,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604840.284,11,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604840.284,11,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604840.284,11,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604845.285,12,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604845.285,12,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604845.285,12,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604850.285,13,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604850.285,13,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604850.285,13,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604855.284,14,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604855.284,14,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604855.284,14,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604860.285,15,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604860.285,15,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604860.285,15,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604865.284,16,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604865.284,16,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604865.284,16,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604870.284,17,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604870.284,17,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604870.284,17,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604875.285,18,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604875.285,18,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604875.285,18,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604880.285,19,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604880.285,19,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604880.285,19,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604885.285,20,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604885.285,20,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604885.285,20,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604890.285,21,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604890.285,21,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604890.285,21,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604895.284,22,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604895.284,22,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604895.284,22,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
1775604900.285,23,"neighbor=NodeAddress { host: "127.0.0.1", port: 9002 }"
1775604900.285,23,"neighbor=NodeAddress { host: "127.0.0.1", port: 9000 }"
1775604900.285,23,"neighbor=NodeAddress { host: "127.0.0.1", port: 9001 }"
